category,sellers,churn_before_2nd
books_general_interest,36,58.3
musical_instruments,35,51.4
garden_tools,94,51.1
furniture_decor,197,49.2
unknown,96,49.0
construction_tools_construction,41,48.8
fashion_bags_accessories,51,47.1
auto,165,46.7
electronics,31,45.2
cool_stuff,71,42.3
health_beauty,240,41.7
stationery,50,38.0
pet_shop,66,37.9
sports_leisure,252,37.3
small_appliances,38,36.8
computers_accessories,141,36.2
housewares,195,35.9
perfumery,69,34.8
baby,81,32.1
bed_bath_table,105,30.5
toys,94,29.8
telephony,57,26.3
watches_gifts,44,25.0
